nom;adresse;telephone;email
PROSUMA (SOCIETE IVOIRIENNE DE PROMOTION DE SUPERMARCHES);Rue des Carrossiers - Zone 3 Treichville;27 21 25 34 16;
DISTRI AKM;Imm. Pharmacie du Château, 1er étage - Angré Château Cocody;01 01 01 26 12;
ABOUSSOUAN SERVICES;Angré Chateau Cocody;05 04 49 73 49;
AFRICA DISTRIBUTION;Avenue 1, face au Palais de la Culture Treichville;27 21 35 71 32;
AFRICA GLOBAL MARKET;Derrière la Paroisse Saint Bernard - Riviera Attoban Cocody;25 22 01 62 21;
AITEK;RUE Thomas Edison - Zone 4C Marcory;27 21 75 01 01;
ARC EN CIEL BOUTIQUE (MAKARI DE SUISSE);Rue de la paix, non loin de cours la martine Marcory;27 21 28 28 16;
ASEN;Carrefour Djè Konan - Remblais Koumassi;27 22 49 31 68;
AUTHORIZED BLU;Synacaci 2 - Riviera 3 Cocody;01 51 59 29 95;
BOIDY;Immeuble SCIAM 5ème étage, cabinet SAGEF Plateau;07 07 98 98 87;
CACOCI;Yopougon;27 23 52 82 48;
CCI (COMPAGNIE COMMERCIALE IVOIRIENNE);Rue Des Carrossiers - Zone 3 Treichville;27 21 25 78 86;
CDCI (COMPAGNIE DE DISTRIBUTION DE COTE D'IVOIRE);Port - Zone portuaire Treichville;27 21 24 01 51;
CDI-CI (COMPAGNIE DE DISTRIBUTION ET D'IMPORTATION DE COTE D'IVOIRE);Rue du Commerce, Imm. le Mali, 2ème étage, Porte 223 Plateau;27 20 32 24 00;
CIEL SARL;Lokoua Yopougon;27 23 55 26 69;
CIGNA-CI;Carrefour Camp Commando Koumassi;07 49 44 79 56;
CODIPAC (COMMERCE DISTRIBUTION DES PRODUITS ALIMENTAIRES CONGELES);Rue des Pêcheurs,Bvd de Marseille non loin de la Sodeci - Zone 3 Treichville;27 21 25 90 97;
COMPAGNIE DE PRODUITS ALIMENTAIRE EN CI;Zone Industrielle Yopougon;27 23 51 90 14;
COMSI TRADING;Non loin du commissariat du 9è Arrondissement - Toits rouges Yopougon;07 07 52 55 17;
COUL ET FILS;Non loin du Marché COCOVICO - Angré 8è tranche Cocody;07 59 53 53 32;
CTOP (CENTRAL TRADING OP);Bd de Marseille, ex Bracodi - Zone 1 Treichville;27 21 21 10 00;
DEM CICT;Av. 1, Rue 11, à côté de la FIF Treichville;05 05 32 82 22;
DIFS (DIPLOMATIQUE INTERNATIONAL FREE SHOP);Rue du Canal - Zone 4 C Marcory;27 21 25 90 90;
DISTRIMED;Yopougon;07 09 87 33 11;
DKS (DESIREE KEYTE SEKA);Face à la BICICI - Zone 3 Marcory;01 41 48 08 39;
