"id","name","phone","address","email","gstin","is_deleted"
"25","Société de BTP et Génie Civil","522938111","Avenue du Soleil, Abidjan","sociétédebtpetgéniecivil@gmail.com","22JPIVG4264E15","0"
"24","Societe de Banque et Finance","3570035225","Rue des Plantes, Abidjan","societedebanqueetfinance@gmail.com","22BDXQG4483H450","0"
"23","Société de Biotechnologie","553286877","Boulevard du Port, Abidjan","sociétédebiotechnologie@gmail.com","22YRBLA9251L55","0"
"22","Société de Commerce International","577008327","Avenue de la Gare, Abidjan","sociétédecommerceinternational@gmail.com","22HTYEG2549M55","1"
"21","Société de Construction Navale","528295059","Rue des Orangers, Abidjan","sociétédeconstructionnavale@gmail.com","22KGSKC4033O35","0"
"20","Société de Conseil en Management","521580730","Boulevard de la Jeunesse, Abidjan","sociétédeconseilenmanagement@gmail.com","22DCLZM6271U35","0"
"19","Société de Développement Logiciel","566269735","Avenue de la Solidarité, Abidjan","sociétédedéveloppementlogiciel@gmail.com","22VQLWK9088O15","0"
"18","Société de Fabrication de Meubles","520463696","Rue des Banques, Abidjan","sociétédefabricationdemeubles@gmail.com","22COZAQ2654M35","0"
"17","Société de Gestion Immobilière","535928573","Boulevard de l'Indépendance, Abidjan","sociétédegestionimmobilière@gmail.com","22DVETS1809E75","0"
"16","Société d'Ingénierie Électrique","574237915","Avenue de la Paix, Abidjan","sociétéd'ingénierieélectrique@gmail.com","22IZERG4715R05","0"
"15","Société de Production Cinématographique","568099359","Rue des Artisans, Abidjan","sociétédeproductioncinématographique@gmail.com","22KWCVY9660A45","0"
"14","Société de Services Informatiques","510801521","Avenue Général de Gaulle, Abidjan","sociétédeservicesinformatiques@gmail.com","22GYDPA6045M55","0"
"13","Société de Télécommunications Globale","584828003","Boulevard des Martyrs, Abidjan","sociétédetélécommunicationsglobale@gmail.com","22SWAZQ2444W35","0"
"12","Société de Transport Express","558333367","Avenue de la Liberté, Abidjan","sociétédetransportexpress@gmail.com","22LDTOA0888V25","0"
"10","Compagnie d'Assurances Sécurité Vie","506264692","Rue du Docteur Blanchard, Daloa","compagnied'assurancessécuritévie@gmail.com","22QHRYF0269X45","0"
"11","Société de Distribution Alimentaire","516947770","Rue des Fleuristes, Abobo, Abidjan","sociétédedistributionalimentaire@gmail.com","22TVHPW3660C75","0"
"9","Société d'Import-Export","516563873","Boulevard de Marseille, Bouaké","sociétéd'import-export@gmail.com","22ZBMPB7819H65","0"
"1","IvoireTech","557573872","Rue des Jardins, Abidjan","ivoiretech@gmail.com","22VYHWB8842B65","0"
"2","CocoaExport","594762959","Avenue de la République, Yamoussoukro","cocoaexport@gmail.com","22BTZDS1369A95","0"
"3","Société Bois d'Ebène","500700810","Boulevard Latrille, Cocody, Abidjan","sociétéboisd'ebène@gmail.com","22XHSGN8379I85","0"
"4","Cimenterie du Sud","523434901","Avenue Jean-Paul II, Plateau, Abidjan","cimenteriedusud@gmail.com","22QOUMD1800C25","0"
"5","Société Agro-Industrielle","587815126","Rue des Bananiers, Marcory, Abidjan","sociétéagro-industrielle@gmail.com","22WROIP7877R35","0"
"6","Supermarché Bon Prix","556889881","Avenue Charles de Gaulle, Treichville, Abidjan","supermarchébonprix@gmail.com","22KTGJX8583S55","0"
"7","Société Textile Ivoirienne","504000691","Rue du Commerce, San Pedro","sociététextileivoirienne@gmail.com","22FPUAM7303Z15","0"
"8","Entreprise de Construction Bâtitech","551280865","Avenue des Cocotiers, Grand-Bassam","entreprisedeconstructionbâtitech@gmail.com","22AUREF1017X05","0"
